num,ang1,ang2,ang3,ang4,ang5,ang6,ang7,ang8,ang9,ang10,label
52,175.5607169,166.225736,153.9377647,142.7627213,98.68031876,98.93983587,165.3254944,169.5044292,179.5305931,178.079769,arm_stretch_up
1,136.3625994,177.1094993,146.6058191,125.879065,111.4082369,77.08608019,151.7883849,158.9823974,174.0767338,174.3678764,arm_stretch_upper_right
2,126.3591258,155.4113393,143.3385531,142.0378128,109.1286941,73.29522706,151.6781771,161.1765372,175.1896616,176.5717909,arm_stretch_upper_right
3,143.5922928,172.3511863,154.1327392,139.7013058,95.77516565,80.21910202,154.9907769,159.1496261,172.2981962,177.133759,arm_stretch_upper_right
4,147.5552967,171.0017292,157.7955965,145.7993134,98.25122821,77.35107649,159.0317144,163.5292483,174.1668717,176.3902979,arm_stretch_upper_right
5,151.0637,179.2925473,147.1062969,154.4408998,100.5306432,82.45866433,155.1116284,166.5734638,176.6723185,177.1754387,arm_stretch_upper_right
6,160.399375,173.8179376,153.7901212,160.5993613,91.32792655,93.41619306,164.4416688,179.9072442,177.077731,178.3357471,arm_stretch_upper_right
7,154.8690198,179.0990554,156.1904771,151.740761,128.1070536,73.87846198,143.5704357,176.1634029,166.968824,175.856347,arm_stretch_upper_right
8,158.3971773,172.4127868,138.2106447,148.8850307,124.9654367,74.26159516,145.1354133,177.5663013,168.2904224,176.8850028,arm_stretch_upper_right
9,163.7261399,164.5740531,120.7771294,133.359289,120.3658439,78.63588201,157.6890778,179.8986979,173.2455686,174.9794079,arm_stretch_upper_right
10,150.9891144,173.472159,133.9608035,142.828056,119.4892914,77.44987962,154.163783,174.7386802,174.1326375,179.5581023,arm_stretch_upper_right
11,156.2670754,151.8562621,138.4360209,121.2583682,113.417168,71.63318268,166.0251865,172.8248773,171.6524311,167.5324776,arm_stretch_upper_right
12,143.2869654,169.560392,125.4358424,123.6671845,122.2570669,60.62309859,153.249824,170.1438304,162.4356396,179.8638191,arm_stretch_upper_right
13,159.7168943,168.6686325,139.7794208,158.9485794,89.51962516,84.76231526,163.8254851,162.710814,178.2465951,176.0353453,arm_stretch_upper_right
14,151.6872149,148.122086,155.5808593,162.1788091,96.17665296,77.5973825,147.2950004,147.6184469,177.4132442,176.104124,arm_stretch_upper_right
15,166.9085865,179.391986,157.0054259,154.524091,99.38181028,88.11932176,148.2174964,163.0477251,178.0035321,178.4161884,arm_stretch_upper_right
16,155.1501177,155.3073209,168.0863074,151.3808142,111.8437489,74.85842808,133.4563748,149.5902072,179.2861675,179.0266217,arm_stretch_upper_right
17,147.227,151.8540687,131.9052325,160.0983389,101.0910385,95.02839063,151.1443388,174.0460958,179.7616001,178.4804932,arm_stretch_upper_right
18,142.645583,154.1605038,142.6960517,163.1788946,97.13833992,79.17486257,152.5490172,156.0462816,178.7413691,175.8667968,arm_stretch_upper_right
19,110.1950918,162.0862085,124.1345774,157.8434786,98.40301808,76.89068491,148.8776362,150.6127661,179.4355689,175.0171174,arm_stretch_upper_right
20,147.5316167,164.7513453,145.1911012,151.6354694,99.77253626,81.59190085,152.2891335,160.0547017,179.69974,177.6546693,arm_stretch_upper_right
21,158.8071158,161.8110087,169.7406432,140.702079,97.37354736,78.57289841,152.9227551,156.2711721,178.2108924,179.8847169,arm_stretch_upper_right
22,159.3083161,144.0810129,157.3511763,160.7581217,91.41540267,79.35574572,155.9817,155.4151184,177.3636571,176.5267274,arm_stretch_upper_right
23,139.5891743,153.3216108,164.7067481,146.1595694,100.9414759,69.4266882,143.4307131,142.4181103,176.7780406,173.2895188,arm_stretch_upper_right
24,148.820034,154.9266558,176.8372769,146.9973366,97.0066106,84.86843149,153.0020389,159.9851,179.1712706,176.2892696,arm_stretch_upper_right
25,114.4005716,160.4981183,122.5310625,173.3259574,96.53164363,80.75922037,149.3359377,153.7034263,177.5651263,176.9024472,arm_stretch_upper_right
26,149.2250283,155.4392115,161.8607394,163.2651361,95.11119999,82.3546418,150.0322156,156.4652608,179.4659117,179.0707982,arm_stretch_upper_right
27,158.6620231,152.4190806,174.9967262,153.5977906,97.88141039,86.39795477,149.0861651,162.472449,178.7684853,177.3129202,arm_stretch_upper_right
28,150.6815519,167.5894221,158.9973774,144.1073343,112.9317577,85.29910888,125.2704776,151.3166377,178.0924561,179.9689328,arm_stretch_upper_right
29,155.1229792,163.519888,157.6801102,136.4644164,117.1767839,82.86068671,118.0170171,151.1881764,179.107151,178.9246167,arm_stretch_upper_right
30,166.986599,161.6893645,178.3492415,170.3206924,104.8719774,78.64279672,149.610571,161.950386,178.540502,177.929854,arm_stretch_upper_right
31,168.4106329,164.1676134,172.1883733,171.4257532,105.4909025,78.24525872,150.3378712,162.6986502,178.084772,177.2823232,arm_stretch_upper_right
32,162.0701842,163.0353473,166.813806,167.5546759,104.3524464,80.08727867,148.1393516,159.6424162,179.5112412,174.8718837,arm_stretch_upper_right
33,165.5157045,161.2284524,172.7917735,169.9938775,102.5956688,81.06148499,152.2131733,163.3975952,179.0780389,178.8680023,arm_stretch_upper_right
34,152.597313,158.6755382,170.4715047,178.3525564,145.059317,49.14280952,139.7537026,153.5503037,145.6191936,175.2710772,arm_stretch_upper_right
35,138.5261746,153.103763,139.605759,136.3639275,102.3874117,74.83927294,149.7636937,153.8605263,178.4528937,179.7644772,arm_stretch_upper_right
36,153.5528412,157.4632352,165.2263471,145.7530796,102.9920039,88.3480922,139.4258653,158.8534641,179.3296867,175.6285394,arm_stretch_upper_right
37,151.6388057,163.5109267,169.5072261,144.9111785,106.7504521,86.89179995,138.5981562,160.1299112,177.6048069,177.9150245,arm_stretch_upper_right
38,162.9657803,161.5166249,164.5995204,166.2849488,99.45661148,90.79958579,151.7553401,168.7943862,178.7661592,177.4309038,arm_stretch_upper_right
39,151.6356731,153.722194,165.4989687,164.6500721,107.2367804,87.61647545,151.5814654,173.4921783,174.7923082,177.4009889,arm_stretch_upper_right
40,158.047843,149.8926188,170.141833,161.2253109,108.2084845,81.85064719,143.6757599,162.812921,175.6172857,178.666222,arm_stretch_upper_right
41,161.4356321,156.2465385,169.4922312,156.708053,123.2814247,87.77516564,115.0364535,159.901422,179.667561,179.9201824,arm_stretch_upper_right
42,165.1152566,159.8899561,174.90488,145.8303992,113.8028477,72.82046708,131.1189872,146.6766732,176.291531,173.6540044,arm_stretch_upper_right
43,43.4749705,164.0989107,54.28244827,147.9465095,135.4476142,82.40772746,115.9290012,163.9212634,171.4987288,178.7357466,arm_stretch_upper_right
44,139.3137626,159.1284029,158.6526269,143.0542288,101.0848913,82.8857009,143.794897,155.3601325,174.3786042,172.9234286,arm_stretch_upper_right
45,152.5924246,159.0559108,176.1539699,159.6645873,90.24574087,79.45266017,175.1910294,165.4368257,172.6836476,175.7661758,arm_stretch_upper_right
46,155.5087411,150.9117161,177.6632294,165.8392631,109.9755053,87.47782381,151.8096771,176.9673474,171.9055081,176.2462118,arm_stretch_upper_right
47,133.3864611,148.0263137,151.6770624,146.093723,92.06450799,82.28768985,160.2956267,161.5650512,177.8538899,179.2208254,arm_stretch_upper_right
48,161.4374735,152.7881015,170.0610603,174.8907136,105.1293521,78.71850281,150.794094,164.7636899,179.8178201,178.2315625,arm_stretch_upper_right
49,145.8607173,155.3163846,154.548893,167.4532385,101.7550804,95.25559798,151.2259247,176.2658764,177.7987191,178.6364604,arm_stretch_upper_right
50,162.9357675,159.4863512,162.2188793,158.4623351,108.6131622,88.89884378,133.7216962,162.5814593,177.4053709,179.1837072,arm_stretch_upper_right
51,156.0966086,163.5541916,152.2989545,168.1343499,102.9342065,92.51672764,148.6437011,170.3072941,174.9276741,177.8878344,arm_stretch_upper_right
52,152.0862254,131.4586259,152.2749977,142.2164525,87.13059858,96.81032476,177.113028,166.1893842,175.354957,172.8379252,arm_stretch_upper_right
53,157.6153863,133.9467466,152.8482214,157.2041925,85.68868401,102.1410607,177.6743296,167.6425814,179.8209928,170.8511112,arm_stretch_upper_right
54,111.6464168,150.5141665,128.6265548,128.9536473,115.2750947,70.73703252,154.093997,166.9340095,177.3045378,169.6429599,arm_stretch_upper_right
55,114.3601037,144.447001,124.5765001,133.4401127,112.3273083,71.48952954,155.159283,164.0578034,177.3068489,179.872346,arm_stretch_upper_right
56,142.3170819,4.592382813,85.98518022,51.55273793,96.2116252,134.3264159,113.7557081,170.319501,112.1850211,172.1857049,arm_stretch_upper_right
57,140.8394422,173.212853,127.2882076,137.4224644,98.69922559,78.47179895,157.6206406,163.7778761,176.521672,179.0640339,arm_stretch_upper_right
58,160.2407504,162.4771629,152.98131,148.4086006,117.171921,84.32951335,122.3909742,153.7507532,173.9918267,176.1154618,arm_stretch_upper_right
59,158.3856051,166.4307499,158.9001912,161.5710238,93.42635766,80.42660821,170.0947583,163.5696957,179.8668231,172.3746932,arm_stretch_upper_right
60,158.0866004,156.4942726,168.5375696,156.3365531,97.06347418,79.19476643,160.6831765,164.5457261,178.8426669,174.3174569,arm_stretch_upper_right
61,144.6001184,154.1858946,135.7938861,136.7566201,114.9921794,86.62132255,138.1419102,171.4972111,177.0991031,176.8888235,arm_stretch_upper_right
62,146.9151471,178.0933219,120.5406048,119.6039518,97.72422501,94.37837328,148.8572383,168.9819649,179.2445081,179.3839401,arm_stretch_upper_right
63,165.6402523,164.3665906,175.2985661,161.715138,99.46232221,76.10500932,145.8274531,149.8092098,180,176.638156,arm_stretch_upper_right
64,134.1643024,123.9742352,149.4248032,177.5212109,124.4719224,79.37776505,135.6445,169.1726987,172.5707767,178.9023884,arm_stretch_upper_right
65,142.7172863,148.8473463,138.1824021,161.4070876,107.1617684,84.10882555,148.8291716,167.4977125,179.8628683,179.6268037,arm_stretch_upper_right
66,148.9390144,154.0097943,153.3323765,157.4320619,93.08562471,90.98150264,158.2634886,169.2845277,178.1395241,176.4742302,arm_stretch_upper_right
67,147.9074087,156.2334415,158.4773999,158.7792711,91.43209618,87.28057487,158.962489,165.0286513,175.1792339,178.7126711,arm_stretch_upper_right
68,157.9785544,177.2269224,143.3056762,154.5753749,105.2227847,92.2781845,150.7827021,174.8364561,177.1227148,179.2847704,arm_stretch_upper_right
69,151.1788975,154.5900483,170.7670482,157.7909696,98.06656464,82.81146286,152.7391012,162.6358756,177.1913851,177.4081333,arm_stretch_upper_right
70,155.246454,154.1335605,160.4729096,170.8094344,100.4462857,82.07349184,155.8919605,165.5394454,177.0243481,177.1728643,arm_stretch_upper_right
1,177.1094993,136.3625994,125.879065,146.6058191,77.08608019,111.4082369,158.9823974,151.7883849,174.3678764,174.0767338,arm_stretch_upper_left
2,155.4113393,126.3591258,142.0378128,143.3385531,73.29522706,109.1286941,161.1765372,151.6781771,176.5717909,175.1896616,arm_stretch_upper_left
3,172.3511863,143.5922928,139.7013058,154.1327392,80.21910202,95.77516565,159.1496261,154.9907769,177.133759,172.2981962,arm_stretch_upper_left
4,171.0017292,147.5552967,145.7993134,157.7955965,77.35107649,98.25122821,163.5292483,159.0317144,176.3902979,174.1668717,arm_stretch_upper_left
5,179.2925473,151.0637,154.4408998,147.1062969,82.45866433,100.5306432,166.5734638,155.1116284,177.1754387,176.6723185,arm_stretch_upper_left
6,173.8179376,160.399375,160.5993613,153.7901212,93.41619306,91.32792655,179.9072442,164.4416688,178.3357471,177.077731,arm_stretch_upper_left
7,179.0990554,154.8690198,151.740761,156.1904771,73.87846198,128.1070536,176.1634029,143.5704357,175.856347,166.968824,arm_stretch_upper_left
8,172.4127868,158.3971773,148.8850307,138.2106447,74.26159516,124.9654367,177.5663013,145.1354133,176.8850028,168.2904224,arm_stretch_upper_left
9,164.5740531,163.7261399,133.359289,120.7771294,78.63588201,120.3658439,179.8986979,157.6890778,174.9794079,173.2455686,arm_stretch_upper_left
10,173.472159,150.9891144,142.828056,133.9608035,77.44987962,119.4892914,174.7386802,154.163783,179.5581023,174.1326375,arm_stretch_upper_left
11,151.8562621,156.2670754,121.2583682,138.4360209,71.63318268,113.417168,172.8248773,166.0251865,167.5324776,171.6524311,arm_stretch_upper_left
12,169.560392,143.2869654,123.6671845,125.4358424,60.62309859,122.2570669,170.1438304,153.249824,179.8638191,162.4356396,arm_stretch_upper_left
13,168.6686325,159.7168943,158.9485794,139.7794208,84.76231526,89.51962516,162.710814,163.8254851,176.0353453,178.2465951,arm_stretch_upper_left
14,148.122086,151.6872149,162.1788091,155.5808593,77.5973825,96.17665296,147.6184469,147.2950004,176.104124,177.4132442,arm_stretch_upper_left
15,179.391986,166.9085865,154.524091,157.0054259,88.11932176,99.38181028,163.0477251,148.2174964,178.4161884,178.0035321,arm_stretch_upper_left
16,155.3073209,155.1501177,151.3808142,168.0863074,74.85842808,111.8437489,149.5902072,133.4563748,179.0266217,179.2861675,arm_stretch_upper_left
17,151.8540687,147.227,160.0983389,131.9052325,95.02839063,101.0910385,174.0460958,151.1443388,178.4804932,179.7616001,arm_stretch_upper_left
18,154.1605038,142.645583,163.1788946,142.6960517,79.17486257,97.13833992,156.0462816,152.5490172,175.8667968,178.7413691,arm_stretch_upper_left
19,162.0862085,110.1950918,157.8434786,124.1345774,76.89068491,98.40301808,150.6127661,148.8776362,175.0171174,179.4355689,arm_stretch_upper_left
20,164.7513453,147.5316167,151.6354694,145.1911012,81.59190085,99.77253626,160.0547017,152.2891335,177.6546693,179.69974,arm_stretch_upper_left
21,161.8110087,158.8071158,140.702079,169.7406432,78.57289841,97.37354736,156.2711721,152.9227551,179.8847169,178.2108924,arm_stretch_upper_left
22,144.0810129,159.3083161,160.7581217,157.3511763,79.35574572,91.41540267,155.4151184,155.9817,176.5267274,177.3636571,arm_stretch_upper_left
23,153.3216108,139.5891743,146.1595694,164.7067481,69.4266882,100.9414759,142.4181103,143.4307131,173.2895188,176.7780406,arm_stretch_upper_left
24,154.9266558,148.820034,146.9973366,176.8372769,84.86843149,97.0066106,159.9851,153.0020389,176.2892696,179.1712706,arm_stretch_upper_left
25,160.4981183,114.4005716,173.3259574,122.5310625,80.75922037,96.53164363,153.7034263,149.3359377,176.9024472,177.5651263,arm_stretch_upper_left
26,155.4392115,149.2250283,163.2651361,161.8607394,82.3546418,95.11119999,156.4652608,150.0322156,179.0707982,179.4659117,arm_stretch_upper_left
27,152.4190806,158.6620231,153.5977906,174.9967262,86.39795477,97.88141039,162.472449,149.0861651,177.3129202,178.7684853,arm_stretch_upper_left
28,167.5894221,150.6815519,144.1073343,158.9973774,85.29910888,112.9317577,151.3166377,125.2704776,179.9689328,178.0924561,arm_stretch_upper_left
29,163.519888,155.1229792,136.4644164,157.6801102,82.86068671,117.1767839,151.1881764,118.0170171,178.9246167,179.107151,arm_stretch_upper_left
30,161.6893645,166.986599,170.3206924,178.3492415,78.64279672,104.8719774,161.950386,149.610571,177.929854,178.540502,arm_stretch_upper_left
31,164.1676134,168.4106329,171.4257532,172.1883733,78.24525872,105.4909025,162.6986502,150.3378712,177.2823232,178.084772,arm_stretch_upper_left
32,163.0353473,162.0701842,167.5546759,166.813806,80.08727867,104.3524464,159.6424162,148.1393516,174.8718837,179.5112412,arm_stretch_upper_left
33,161.2284524,165.5157045,169.9938775,172.7917735,81.06148499,102.5956688,163.3975952,152.2131733,178.8680023,179.0780389,arm_stretch_upper_left
34,158.6755382,152.597313,178.3525564,170.4715047,49.14280952,145.059317,153.5503037,139.7537026,175.2710772,145.6191936,arm_stretch_upper_left
35,153.103763,138.5261746,136.3639275,139.605759,74.83927294,102.3874117,153.8605263,149.7636937,179.7644772,178.4528937,arm_stretch_upper_left
36,157.4632352,153.5528412,145.7530796,165.2263471,88.3480922,102.9920039,158.8534641,139.4258653,175.6285394,179.3296867,arm_stretch_upper_left
37,163.5109267,151.6388057,144.9111785,169.5072261,86.89179995,106.7504521,160.1299112,138.5981562,177.9150245,177.6048069,arm_stretch_upper_left
38,161.5166249,162.9657803,166.2849488,164.5995204,90.79958579,99.45661148,168.7943862,151.7553401,177.4309038,178.7661592,arm_stretch_upper_left
39,153.722194,151.6356731,164.6500721,165.4989687,87.61647545,107.2367804,173.4921783,151.5814654,177.4009889,174.7923082,arm_stretch_upper_left
40,149.8926188,158.047843,161.2253109,170.141833,81.85064719,108.2084845,162.812921,143.6757599,178.666222,175.6172857,arm_stretch_upper_left
41,156.2465385,161.4356321,156.708053,169.4922312,87.77516564,123.2814247,159.901422,115.0364535,179.9201824,179.667561,arm_stretch_upper_left
42,159.8899561,165.1152566,145.8303992,174.90488,72.82046708,113.8028477,146.6766732,131.1189872,173.6540044,176.291531,arm_stretch_upper_left
43,164.0989107,43.4749705,147.9465095,54.28244827,82.40772746,135.4476142,163.9212634,115.9290012,178.7357466,171.4987288,arm_stretch_upper_left
44,159.1284029,139.3137626,143.0542288,158.6526269,82.8857009,101.0848913,155.3601325,143.794897,172.9234286,174.3786042,arm_stretch_upper_left
45,159.0559108,152.5924246,159.6645873,176.1539699,79.45266017,90.24574087,165.4368257,175.1910294,175.7661758,172.6836476,arm_stretch_upper_left
46,150.9117161,155.5087411,165.8392631,177.6632294,87.47782381,109.9755053,176.9673474,151.8096771,176.2462118,171.9055081,arm_stretch_upper_left
47,148.0263137,133.3864611,146.093723,151.6770624,82.28768985,92.06450799,161.5650512,160.2956267,179.2208254,177.8538899,arm_stretch_upper_left
48,152.7881015,161.4374735,174.8907136,170.0610603,78.71850281,105.1293521,164.7636899,150.794094,178.2315625,179.8178201,arm_stretch_upper_left
49,155.3163846,145.8607173,167.4532385,154.548893,95.25559798,101.7550804,176.2658764,151.2259247,178.6364604,177.7987191,arm_stretch_upper_left
50,159.4863512,162.9357675,158.4623351,162.2188793,88.89884378,108.6131622,162.5814593,133.7216962,179.1837072,177.4053709,arm_stretch_upper_left
51,163.5541916,156.0966086,168.1343499,152.2989545,92.51672764,102.9342065,170.3072941,148.6437011,177.8878344,174.9276741,arm_stretch_upper_left
52,131.4586259,152.0862254,142.2164525,152.2749977,96.81032476,87.13059858,166.1893842,177.113028,172.8379252,175.354957,arm_stretch_upper_left
53,133.9467466,157.6153863,157.2041925,152.8482214,102.1410607,85.68868401,167.6425814,177.6743296,170.8511112,179.8209928,arm_stretch_upper_left
54,150.5141665,111.6464168,128.9536473,128.6265548,70.73703252,115.2750947,166.9340095,154.093997,169.6429599,177.3045378,arm_stretch_upper_left
55,144.447001,114.3601037,133.4401127,124.5765001,71.48952954,112.3273083,164.0578034,155.159283,179.872346,177.3068489,arm_stretch_upper_left
56,4.592382813,142.3170819,51.55273793,85.98518022,134.3264159,96.2116252,170.319501,113.7557081,172.1857049,112.1850211,arm_stretch_upper_left
57,173.212853,140.8394422,137.4224644,127.2882076,78.47179895,98.69922559,163.7778761,157.6206406,179.0640339,176.521672,arm_stretch_upper_left
58,162.4771629,160.2407504,148.4086006,152.98131,84.32951335,117.171921,153.7507532,122.3909742,176.1154618,173.9918267,arm_stretch_upper_left
59,166.4307499,158.3856051,161.5710238,158.9001912,80.42660821,93.42635766,163.5696957,170.0947583,172.3746932,179.8668231,arm_stretch_upper_left
60,156.4942726,158.0866004,156.3365531,168.5375696,79.19476643,97.06347418,164.5457261,160.6831765,174.3174569,178.8426669,arm_stretch_upper_left
61,154.1858946,144.6001184,136.7566201,135.7938861,86.62132255,114.9921794,171.4972111,138.1419102,176.8888235,177.0991031,arm_stretch_upper_left
62,178.0933219,146.9151471,119.6039518,120.5406048,94.37837328,97.72422501,168.9819649,148.8572383,179.3839401,179.2445081,arm_stretch_upper_left
63,164.3665906,165.6402523,161.715138,175.2985661,76.10500932,99.46232221,149.8092098,145.8274531,176.638156,180,arm_stretch_upper_left
64,123.9742352,134.1643024,177.5212109,149.4248032,79.37776505,124.4719224,169.1726987,135.6445,178.9023884,172.5707767,arm_stretch_upper_left
65,148.8473463,142.7172863,161.4070876,138.1824021,84.10882555,107.1617684,167.4977125,148.8291716,179.6268037,179.8628683,arm_stretch_upper_left
66,154.0097943,148.9390144,157.4320619,153.3323765,90.98150264,93.08562471,169.2845277,158.2634886,176.4742302,178.1395241,arm_stretch_upper_left
67,156.2334415,147.9074087,158.7792711,158.4773999,87.28057487,91.43209618,165.0286513,158.962489,178.7126711,175.1792339,arm_stretch_upper_left
68,177.2269224,157.9785544,154.5753749,143.3056762,92.2781845,105.2227847,174.8364561,150.7827021,179.2847704,177.1227148,arm_stretch_upper_left
69,154.5900483,151.1788975,157.7909696,170.7670482,82.81146286,98.06656464,162.6358756,152.7391012,177.4081333,177.1913851,arm_stretch_upper_left
70,154.1335605,155.246454,170.8094344,160.4729096,82.07349184,100.4462857,165.5394454,155.8919605,177.1728643,177.0243481,arm_stretch_upper_left
1,146.6927042,135.0630147,163.6181496,163.5630997,85.73261237,94.53287223,168.3442918,178.1003231,174.5964843,179.6372913,hurray
